Date,Event,Main_Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
1993-11-12,UFC 1,1,The Beginning,Ultimate Fighting Championship,,,0,McNichols Sports Arena,"Denver, Colorado",7800.0,,86000.0
1994-03-11,UFC 2,1,No Way Out,Ultimate Fighting Championship,,,0,Mammoth Gardens,"Denver, Colorado",2000.0,,300000.0
1994-09-09,UFC 3,1,The American Dream,Ultimate Fighting Championship,,,0,Grady Cole Center,"Charlotte, North Carolina",3000.0,,90000.0
1994-12-16,UFC 4,1,Revenge of the Warriors,Ultimate Fighting Championship,,,0,Expo Square Pavilion,"Tulsa, Oklahoma",5857.0,,120000.0
1995-04-07,UFC 5,1,Gracie vs. Shamrock 2,Ultimate Fighting Championship,Gracie,Shamrock,1,Independence Arena,"Charlotte, North Carolina",6000.0,,260000.0
1995-07-14,UFC 6,1,Shamrock vs. Severn,Ultimate Fighting Championship,Shamrock,Severn,0,Casper Events Center,"Casper, Wyoming",2700.0,,240000.0
1995-09-08,UFC 7,1,,Ultimate Fighting Championship,,,0,Memorial Auditorium,"Buffalo, New York",9000.0,,190000.0
1995-12-16,Ultimate Ultimate 1995,0,,Ultimate Fighting Championship,,,0,Mammoth Gardens,"Denver, Colorado",2800.0,,251000.0
1996-02-16,UFC 8,1,Shamrock vs. Leopoldo,Ultimate Fighting Championship,Shamrock,Leopoldo,0,Ruben Rodriguez Coliseum,"Bayamón, Puerto Rico",13000.0,,300000.0
1996-05-17,UFC 9,1,Shamrock vs. Severn 2,Ultimate Fighting Championship,Shamrock,Severn,1,Cobo Arena,"Detroit, Michigan",10000.0,,141000.0
1996-07-12,UFC 10,1,The Tournament,Ultimate Fighting Championship,,,0,Fairgrounds Arena,"Birmingham, Alabama",4300.0,,96000.0
1996-09-20,UFC 11,1,The Proving Ground,Ultimate Fighting Championship,,,0,Augusta Civic Center,"Augusta, Georgia",4500.0,,92000.0
1996-12-07,Ultimate Ultimate 1996,0,,Ultimate Fighting Championship,,,0,Fair Park Arena,"Birmingham, Alabama",6000.0,,120000.0
1997-02-07,UFC 12,1,Judgement Day,Ultimate Fighting Championship,,,0,Dothan Civic Center,"Dothan, Alabama",3100.0,,122000.0
1997-05-30,UFC 13,1,The Ultimate Force,Ultimate Fighting Championship,,,0,Augusta Civic Center,"Augusta, Georgia",5100.0,,
1997-07-27,UFC 14,1,Showdown,Ultimate Fighting Championship,,,0,Boutwell Auditorium,"Birmingham, Alabama",5000.0,,
1997-10-17,UFC 15,1,Collision Course,Ultimate Fighting Championship,,,0,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,
1997-12-21,UFC Japan,0,Ultimate Japan,Ultimate Fighting Championship,,,0,Yokohama Arena,"Yokohama, Japan",5000.0,,
1998-03-13,UFC 16,1,Battle in the Bayou,Ultimate Fighting Championship,,,0,Pontchartrain Center,"New Orleans, Louisiana",4600.0,,
1998-05-15,UFC 17,1,Redemption,Ultimate Fighting Championship,,,0,Mobile Civic Center,"Mobile, Alabama",,,
1998-10-16,UFC Brazil,0,Ultimate Brazil,Ultimate Fighting Championship,,,0,Ginásio da Portuguesa,"Sao Paulo, Brazil",,,
1999-01-08,UFC 18,1,The Road to the Heavyweight Title,Ultimate Fighting Championship,,,0,Pontchartrain Center,"New Orleans, Louisiana",,,
1999-03-05,UFC 19,1,Ultimate Young Guns,Ultimate Fighting Championship,,,0,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,
1999-05-07,UFC 20,1,Battle for the Gold,Ultimate Fighting Championship,,,0,Boutwell Auditorium,"Birmingham, Alabama",,,
1999-07-16,UFC 21,1,Return of the Champions,Ultimate Fighting Championship,,,0,Five Seasons Events Center,"Cedar Rapids, Iowa",,,
1999-09-24,UFC 22,1,Only One Can be Champion,Ultimate Fighting Championship,,,0,Lake Charles Civic Center,"Lake Charles, Louisiana",,,
1999-11-19,UFC 23,1,Ultimate Japan 2,Ultimate Fighting Championship,,,1,Tokyo Bay NK Hall,"Tokyo, Japan",,,
2000-03-10,UFC 24,1,First Defense,Ultimate Fighting Championship,,,0,Lake Charles Civic Center,"Lake Charles, Louisiana",,,
2000-04-14,UFC 25,1,Ultimate Japan 3,Ultimate Fighting Championship,,,1,Yoyogi National Gymnasium,"Tokyo, Japan",,,
2000-06-09,UFC 26,1,Ultimate Field of Dreams,Ultimate Fighting Championship,,,0,Five Seasons Events Center,"Cedar Rapids, Iowa",,,
2000-09-22,UFC 27,1,Ultimate Bad Boyz,Ultimate Fighting Championship,,,0,Lakefront Arena,"New Orleans, Louisiana",,,
2000-11-17,UFC 28,1,High Stakes,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2000-12-16,UFC 29,1,Defense of the Belts,Ultimate Fighting Championship,,,0,Differ Ariake Arena,"Tokyo, Japan",1414.0,,
2001-02-23,UFC 30,1,Battle on the Boardwalk,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-05-04,UFC 31,1,Locked and Loaded,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-06-29,UFC 32,1,Showdown in the Meadowlands,Ultimate Fighting Championship,,,0,Continental Airlines Arena,"East Rutherford, New Jersey",12500.0,,
2001-09-28,UFC 33,1,Victory in Vegas,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9500.0,816660.0,75000.0
2001-11-02,UFC 34,1,High Voltage,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",9000.0,502550.0,65000.0
2002-01-11,UFC 35,1,Throwdown,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",9600.0,,35000.0
2002-03-22,UFC 36,1,Worlds Collide,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",10000.0,898850.0,55000.0
2002-05-10,UFC 37,1,High Impact,Ultimate Fighting Championship,,,0,CenturyTel Center,"Bossier City, Louisiana",7200.0,,50000.0
2002-06-22,UFC 37.5,1,As Real As It Gets,Ultimate Fighting Championship,,,0,Bellagio Hotel and Casino,"Las Vegas, Nevada",3700.0,,
2002-07-13,UFC 38,1,Brawl at the Hall,Ultimate Fighting Championship,,,0,Royal Albert Hall,"London, United Kingdom",3800.0,,45000.0
2002-09-27,UFC 39,1,The Warriors Return,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",7800.0,,45000.0
2002-11-22,UFC 40,1,Vendetta,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",13265.0,1540000.0,100000.0
2003-02-28,UFC 41,1,Onslaught,Ultimate Fighting Championship,,,0,Boardwalk Hall,"Atlantic City, New Jersey",13401.0,,60000.0
2003-04-25,UFC 42,1,Sudden Impact,Ultimate Fighting Championship,,,0,American Airlines Arena,"Miami, Florida",6700.0,,35000.0
2003-06-06,UFC 43,1,Meltdown,Ultimate Fighting Championship,,,0,Thomas and Mack Center,"Las Vegas, Nevada",9800.0,645140.0,49000.0
2003-09-26,UFC 44,1,Undisputed,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10400.0,127985.0,94000.0
2003-11-21,UFC 45,1,Revolution,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",9200.0,,40000.0
2004-01-31,UFC 46,1,Supernatural,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10700.0,1377000.0,80000.0
2004-04-02,UFC 47,1,It’s On!,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11437.0,1444020.0,105000.0
2004-06-19,UFC 48,1,Payback,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10000.0,901655.0,110000.0
2004-08-21,UFC 49,1,Unfinished Business,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",12100.0,1293035.0,80000.0
2004-10-22,UFC 50,1,The War of '04,Ultimate Fighting Championship,,,0,Trump Plaza,"Atlantic City, New Jersey",9000.0,,40000.0
2005-02-05,UFC 51,1,Super Saturday,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",11072.0,1493000.0,105000.0
2005-04-09,The Ultimate Fighter,0,Team Couture vs. Team Liddell Finale,Ultimate Fighting Championship,Team Couture,Team Liddell,0,Cox Pavilion,"Las Vegas, Nevada",,,
2005-04-16,UFC 52,1,Couture vs. Liddell,Ultimate Fighting Championship,Couture,Liddell,0,MGM Grand Arena,"Las Vegas, Nevada",14562.0,2575450.0,280000.0
2005-06-04,UFC 53,1,Heavy Hitters,Ultimate Fighting Championship,,,0,Boardwalk Hall,"Atlantic City, New Jersey",12000.0,1100000.0,90000.0
2005-08-06,UFC Ultimate Fight Night,0,,Ultimate Fighting Championship,,,0,Cox Pavilion,"Las Vegas, Nevada",,,
2005-08-20,UFC 54,1,Boiling Point,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",13520.0,2336000.0,150000.0
2005-10-03,Ultimate Fight Night 2,0,,Ultimate Fighting Championship,,,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2005-10-07,UFC 55,1,Fury,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",8000.0,,125000.0
2005-11-05,The Ultimate Fighter,0,Team Hughes vs. Team Franklin Finale,Ultimate Fighting Championship,Team Hughes,Team Franklin,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
2005-11-19,UFC 56,1,Full Force,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",12000.0,1986000.0,200000.0
2006-01-16,Ultimate Fight Night 3,0,,Ultimate Fighting Championship,,,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",1008.0,144600.0,
2006-02-04,UFC 57,1,Liddell vs. Couture 3,Ultimate Fighting Championship,Liddell,Couture,1,Mandalay Bay Events Center,"Las Vegas, Nevada",11000.0,3382400.0,400000.0
2006-03-04,UFC 58,1,USA vs. Canada,Ultimate Fighting Championship,USA,Canada,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9569.0,1758450.0,300000.0
2006-04-06,Ultimate Fight Night 4,0,,Ultimate Fighting Championship,,,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",843.0,199150.0,
2006-04-15,UFC 59,1,Reality Check,Ultimate Fighting Championship,,,0,Arrowhead Pond,"Anaheim, California",13814.0,2191450.0,425000.0
2006-05-27,UFC 60,1,Hughes vs. Gracie,Ultimate Fighting Championship,Hughes,Gracie,0,Staples Center,"Los Angeles, California",14802.0,2900090.0,620000.0
2006-06-24,The Ultimate Fighter,0,Team Ortiz vs. Team Shamrock Finale,Ultimate Fighting Championship,Team Ortiz,Team Shamrock,0,Hard Rock Hotel and Casino,"Las Vegas, Nevada",,,
