Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
1993-11-12,UFC 1,The Beginning,Ultimate Fighting Championship,,,0,McNichols Sports Arena,"Denver, Colorado",7800.0,,86000.0
1994-03-11,UFC 2,No Way Out,Ultimate Fighting Championship,,,0,Mammoth Gardens,"Denver, Colorado",2000.0,,300000.0
1994-09-09,UFC 3,The American Dream,Ultimate Fighting Championship,,,0,Grady Cole Center,"Charlotte, North Carolina",3000.0,,90000.0
1994-12-16,UFC 4,Revenge of the Warriors,Ultimate Fighting Championship,,,0,Expo Square Pavilion,"Tulsa, Oklahoma",5857.0,,120000.0
1995-04-07,UFC 5,Gracie vs. Shamrock 2,Ultimate Fighting Championship,Gracie,Shamrock,1,Independence Arena,"Charlotte, North Carolina",6000.0,,260000.0
1995-07-14,UFC 6,Shamrock vs. Severn,Ultimate Fighting Championship,Shamrock,Severn,0,Casper Events Center,"Casper, Wyoming",2700.0,,240000.0
1995-09-08,UFC 7,,Ultimate Fighting Championship,,,0,Memorial Auditorium,"Buffalo, New York",9000.0,,190000.0
1996-02-16,UFC 8,Shamrock vs. Leopoldo,Ultimate Fighting Championship,Shamrock,Leopoldo,0,Ruben Rodriguez Coliseum,"Bayamón, Puerto Rico",13000.0,,300000.0
1996-05-17,UFC 9,Shamrock vs. Severn 2,Ultimate Fighting Championship,Shamrock,Severn,1,Cobo Arena,"Detroit, Michigan",10000.0,,141000.0
1996-07-12,UFC 10,The Tournament,Ultimate Fighting Championship,,,0,Fairgrounds Arena,"Birmingham, Alabama",4300.0,,96000.0
1996-09-20,UFC 11,The Proving Ground,Ultimate Fighting Championship,,,0,Augusta Civic Center,"Augusta, Georgia",4500.0,,92000.0
1997-02-07,UFC 12,Judgement Day,Ultimate Fighting Championship,,,0,Dothan Civic Center,"Dothan, Alabama",3100.0,,122000.0
1997-05-30,UFC 13,The Ultimate Force,Ultimate Fighting Championship,,,0,Augusta Civic Center,"Augusta, Georgia",5100.0,,
1997-07-27,UFC 14,Showdown,Ultimate Fighting Championship,,,0,Boutwell Auditorium,"Birmingham, Alabama",5000.0,,
1997-10-17,UFC 15,Collision Course,Ultimate Fighting Championship,,,0,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,
1998-03-13,UFC 16,Battle in the Bayou,Ultimate Fighting Championship,,,0,Pontchartrain Center,"New Orleans, Louisiana",4600.0,,
1998-05-15,UFC 17,Redemption,Ultimate Fighting Championship,,,0,Mobile Civic Center,"Mobile, Alabama",,,
1999-01-08,UFC 18,The Road to the Heavyweight Title,Ultimate Fighting Championship,,,0,Pontchartrain Center,"New Orleans, Louisiana",,,
1999-03-05,UFC 19,Ultimate Young Guns,Ultimate Fighting Championship,,,0,Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",,,
1999-05-07,UFC 20,Battle for the Gold,Ultimate Fighting Championship,,,0,Boutwell Auditorium,"Birmingham, Alabama",,,
1999-07-16,UFC 21,Return of the Champions,Ultimate Fighting Championship,,,0,Five Seasons Events Center,"Cedar Rapids, Iowa",,,
1999-09-24,UFC 22,Only One Can be Champion,Ultimate Fighting Championship,,,0,Lake Charles Civic Center,"Lake Charles, Louisiana",,,
1999-11-19,UFC 23,Ultimate Japan 2,Ultimate Fighting Championship,,,1,Tokyo Bay NK Hall,"Tokyo, Japan",,,
2000-03-10,UFC 24,First Defense,Ultimate Fighting Championship,,,0,Lake Charles Civic Center,"Lake Charles, Louisiana",,,
2000-04-14,UFC 25,Ultimate Japan 3,Ultimate Fighting Championship,,,1,Yoyogi National Gymnasium,"Tokyo, Japan",,,
2000-06-09,UFC 26,Ultimate Field of Dreams,Ultimate Fighting Championship,,,0,Five Seasons Events Center,"Cedar Rapids, Iowa",,,
2000-09-22,UFC 27,Ultimate Bad Boyz,Ultimate Fighting Championship,,,0,Lakefront Arena,"New Orleans, Louisiana",,,
2000-11-17,UFC 28,High Stakes,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2000-12-16,UFC 29,Defense of the Belts,Ultimate Fighting Championship,,,0,Differ Ariake Arena,"Tokyo, Japan",1414.0,,
2001-02-23,UFC 30,Battle on the Boardwalk,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-05-04,UFC 31,Locked and Loaded,Ultimate Fighting Championship,,,0,Trump Taj Mahal,"Atlantic City, New Jersey",,,
2001-06-29,UFC 32,Showdown in the Meadowlands,Ultimate Fighting Championship,,,0,Continental Airlines Arena,"East Rutherford, New Jersey",12500.0,,
2001-09-28,UFC 33,Victory in Vegas,Ultimate Fighting Championship,,,0,Mandalay Bay Events Center,"Las Vegas, Nevada",9500.0,816660.0,75000.0
2001-11-02,UFC 34,High Voltage,Ultimate Fighting Championship,,,0,MGM Grand Garden Arena,"Las Vegas, Nevada",9000.0,502550.0,65000.0
2002-01-11,UFC 35,Throwdown,Ultimate Fighting Championship,,,0,Mohegan Sun Arena,"Uncasville, Connecticut",9600.0,,35000.0
2002-03-22,UFC 36,Worlds Collide,Ultimate Fighting Championship,,,0,MGM Grand Arena,"Las Vegas, Nevada",10000.0,898850.0,55000.0
