UFC 1: The Beginning,Ultimate Fighting Championship,"November 12, 1993",McNichols Sports Arena,"Denver, Colorado","7,800[1]",nan,"86,000[2]"
UFC 2: No Way Out,Ultimate Fighting Championship,"March 11, 1994",Mammoth Gardens,"Denver, Colorado","2,000",nan,nan
UFC 3: The American Dream,Ultimate Fighting Championship,"September 9, 1994[1]",Grady Cole Center,"Charlotte, North Carolina","3,000",nan,"90,000"
UFC 4: Revenge of the Warriors,Ultimate Fighting Championship,"December 16, 1994",Expo Square Pavilion,"Tulsa, Oklahoma","5,857",nan,"120,000"
UFC 5: Gracie vs. Shamrock 2,Ultimate Fighting Championship,"April 7, 1995",Independence Arena,"Charlotte, North Carolina","6,000",nan,"260,000[1]"
UFC 6: Shamrock vs. Severn,Ultimate Fighting Championship,"July 14, 1995",Casper Events Center,"Casper, Wyoming","2,700",nan,"240,000[1]"
UFC 7,Ultimate Fighting Championship,"September 8, 1995",Memorial Auditorium,"Buffalo, New York","9,000",nan,"190,000[1]"
Ultimate Ultimate 1995,Ultimate Fighting Championship,"December 16, 1995",Mammoth Gardens,"Denver, Colorado","2,800",nan,"251,000"
UFC 8: Shamrock vs. Leopoldo,Ultimate Fighting Championship,"February 16, 1996",Ruben Rodriguez Coliseum,"Bayamón, Puerto Rico","13,000",nan,"300,000[1]"
UFC 9: Shamrock vs. Severn 2,Ultimate Fighting Championship,"May 17, 1996",Cobo Arena,"Detroit, Michigan","10,000",nan,"141,000"
UFC 10: The Tournament,Ultimate Fighting Championship,"July 12, 1996",Fairgrounds Arena,"Birmingham, Alabama","4,300",nan,"96,000"
UFC 11: The Proving Ground,Ultimate Fighting Championship,"September 20, 1996",Augusta Civic Center,"Augusta, Georgia","4,500",nan,"92,000"
Ultimate Ultimate 1996,Ultimate Fighting Championship,"December 7, 1996",Fair Park Arena,"Birmingham, Alabama","6,000",nan,"120,000"
UFC 12: Judgement Day,Ultimate Fighting Championship,"February 7, 1997",Dothan Civic Center,"Dothan, Alabama","3,100",nan,"122,000"
UFC 13: The Ultimate Force,Ultimate Fighting Championship,"May 30, 1997",Augusta Civic Center,"Augusta, Georgia","5,100",nan,nan
UFC 14: Showdown,Ultimate Fighting Championship,"July 27, 1997",Boutwell Auditorium,"Birmingham, Alabama","5,000",nan,nan
UFC 15: Collision Course,Ultimate Fighting Championship,"October 17, 1997",Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",nan,nan,nan
UFC Japan: Ultimate Japan,Ultimate Fighting Championship,"December 21, 1997",Yokohama Arena,"Yokohama, Japan","5,000",nan,nan
UFC 16: Battle in the Bayou,Ultimate Fighting Championship,"March 13, 1998",Pontchartrain Center,"New Orleans, Louisiana","4,600",nan,nan
UFC 17: Redemption,Ultimate Fighting Championship,"May 15, 1998",Mobile Civic Center,"Mobile, Alabama",nan,nan,nan
UFC Brazil: Ultimate Brazil,Ultimate Fighting Championship,"October 16, 1998",Ginásio da Portuguesa,"Sao Paulo, Brazil",nan,nan,nan
UFC 18: The Road to the Heavyweight Title,Ultimate Fighting Championship,"January 8, 1999",Pontchartrain Center,"New Orleans, Louisiana",nan,nan,nan
UFC 19: Ultimate Young Guns,Ultimate Fighting Championship,"March 5, 1999",Casino Magic Bay St. Louis,"Bay St. Louis, Mississippi",nan,nan,nan
UFC 20: Battle for the Gold,Ultimate Fighting Championship,"May 7, 1999",Boutwell Auditorium,"Birmingham, Alabama",nan,nan,nan
UFC 21: Return of the Champions,Ultimate Fighting Championship,"July 16, 1999",Five Seasons Events Center,"Cedar Rapids, Iowa",nan,nan,nan
UFC 22: Only One Can be Champion,Ultimate Fighting Championship,"September 24, 1999",Lake Charles Civic Center,"Lake Charles, Louisiana",nan,nan,nan
UFC 23: Ultimate Japan 2,Ultimate Fighting Championship,"November 19, 1999",Tokyo Bay NK Hall,"Tokyo, Japan",nan,nan,nan
UFC 24: First Defense,Ultimate Fighting Championship,"March 10, 2000",Lake Charles Civic Center,"Lake Charles, Louisiana",nan,nan,nan
UFC 25: Ultimate Japan 3,Ultimate Fighting Championship,"April 14, 2000",Yoyogi National Gymnasium,"Tokyo, Japan",nan,nan,nan
UFC 26: Ultimate Field of Dreams,Ultimate Fighting Championship,"June 9, 2000",Five Seasons Events Center,"Cedar Rapids, Iowa",nan,nan,nan
UFC 27: Ultimate Bad Boyz,Ultimate Fighting Championship,"September 22, 2000",Lakefront Arena,"New Orleans, Louisiana",nan,nan,nan
UFC 28: High Stakes,Ultimate Fighting Championship,"November 17, 2000",Trump Taj Mahal,"Atlantic City, New Jersey",nan,nan,nan
UFC 29: Defense of the Belts,Ultimate Fighting Championship,"December 16, 2000",Differ Ariake Arena,"Tokyo, Japan","1,414[1]",nan,nan
UFC 30: Battle on the Boardwalk,Ultimate Fighting Championship,"February 23, 2001",Trump Taj Mahal,"Atlantic City, New Jersey",nan,nan,nan
UFC 31: Locked and Loaded,Ultimate Fighting Championship,"May 4, 2001",Trump Taj Mahal,"Atlantic City, New Jersey",nan,nan,nan
UFC 32: Showdown in the Meadowlands,Ultimate Fighting Championship,"June 29, 2001",Continental Airlines Arena,"East Rutherford, New Jersey","12,500",nan,nan
UFC 33: Victory in Vegas,Ultimate Fighting Championship,"September 28, 2001",Mandalay Bay Events Center,"Las Vegas, Nevada","9,500","$816,660","75,000"
UFC 34: High Voltage,Ultimate Fighting Championship,"November 2, 2001",MGM Grand Garden Arena,"Las Vegas, Nevada","9,000","$502,550","65,000"
UFC 35: Throwdown,Ultimate Fighting Championship,"January 11, 2002",Mohegan Sun Arena,"Uncasville, Connecticut","9,600",nan,"35,000"
UFC 36: Worlds Collide,Ultimate Fighting Championship,"March 22, 2002",MGM Grand Arena,"Las Vegas, Nevada","10,000[1]","$898,850[1]","55,000[1]"
UFC 37: High Impact,Ultimate Fighting Championship,"May 10, 2002",CenturyTel Center,"Bossier City, Louisiana","7,200",nan,"50,000"
UFC 37.5: As Real As It Gets,Ultimate Fighting Championship,"June 22, 2002",Bellagio Hotel and Casino,"Las Vegas, Nevada","3,700",nan,nan
UFC 38: Brawl at the Hall,Ultimate Fighting Championship,"July 13, 2002",Royal Albert Hall,"London, United Kingdom","3,800",nan,"45,000"
UFC 39: The Warriors Return,Ultimate Fighting Championship,"September 27, 2002",Mohegan Sun Arena,"Uncasville, Connecticut","7,800",nan,"45,000"
UFC 40: Vendetta,Ultimate Fighting Championship,"November 22, 2002",MGM Grand Arena,"Las Vegas, Nevada","13,265","$1,540,000","100,000"
UFC 41: Onslaught,Ultimate Fighting Championship,"February 28, 2003",Boardwalk Hall,"Atlantic City, New Jersey","13,401",nan,"60,000"
UFC 42: Sudden Impact,Ultimate Fighting Championship,"April 25, 2003",American Airlines Arena,"Miami, Florida","6,700",nan,"35,000"
UFC 43: Meltdown,Ultimate Fighting Championship,"June 6, 2003",Thomas and Mack Center,"Las Vegas, Nevada","9,800","$645,140","49,000"
UFC 44: Undisputed,Ultimate Fighting Championship,"September 26, 2003",Mandalay Bay Events Center,"Las Vegas, Nevada","10,400","$127,985","94,000"
UFC 45: Revolution,Ultimate Fighting Championship,"November 21, 2003",Mohegan Sun Arena,"Uncasville, Connecticut","9,200",nan,"40,000"
UFC 46: Supernatural,Ultimate Fighting Championship,"January 31, 2004",Mandalay Bay Events Center,"Las Vegas, Nevada","10,700[1]","$1,377,000[1]","80,000[1]"
UFC 47: It’s On!,Ultimate Fighting Championship,"April 2, 2004",Mandalay Bay Events Center,"Las Vegas, Nevada","11,437[1]","$1,444,020[1]","105,000[1]"
UFC 48: Payback,Ultimate Fighting Championship,"June 19, 2004",Mandalay Bay Events Center,"Las Vegas, Nevada","10,000 (Paid: 6,528)[1]","$901,655[1]","110,000[1]"
UFC 49: Unfinished Business,Ultimate Fighting Championship,"August 21, 2004",MGM Grand Arena,"Las Vegas, Nevada","12,100 (paid 8,597)[1]","$1,293,035[1]","80,000[1]"
UFC 50: The War of '04,Ultimate Fighting Championship,"October 22, 2004",Trump Plaza,"Atlantic City, New Jersey","9,000",nan,"40,000"
UFC 51: Super Saturday,Ultimate Fighting Championship,"February 5, 2005",Mandalay Bay Events Center,"Las Vegas, Nevada","11,072 (Paid: 9,268)[1]","$1,493,000","105,000"
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Ultimate Fighting Championship,"April 9, 2005",Cox Pavilion,"Las Vegas, Nevada",nan,nan,nan
UFC 52: Couture vs. Liddell,Ultimate Fighting Championship,"April 16, 2005",MGM Grand Arena,"Las Vegas, Nevada","14,562 (Paid: 12,643)","$2,575,450","280,000[1]"
UFC 53: Heavy Hitters,Ultimate Fighting Championship,"June 4, 2005",Boardwalk Hall,"Atlantic City, New Jersey","12,000","$1,100,000","90,000"
UFC Ultimate Fight Night,Ultimate Fighting Championship,"August 6, 2005",Cox Pavilion,"Las Vegas, Nevada",nan,nan,nan
